False_Positive_Rate,True_Positive_Rate
0.015714285714285715,0.358
0.015857142857142858,0.358
0.015857142857142858,0.359
0.016,0.359
0.016,0.36
0.016142857142857143,0.36
0.016142857142857143,0.3605
0.01657142857142857,0.3605
0.01657142857142857,0.3615
0.016714285714285713,0.3615
0.016714285714285713,0.3645
0.01685714285714286,0.3645
0.01685714285714286,0.366
0.017285714285714286,0.366
0.017285714285714286,0.3675
0.017714285714285714,0.3675
0.017714285714285714,0.37
0.017857142857142856,0.37
0.017857142857142856,0.3705
0.018,0.3705
0.018,0.371
0.018285714285714287,0.371
0.018285714285714287,0.3735
0.018571428571428572,0.3735
0.018571428571428572,0.374
0.018714285714285715,0.374
0.018714285714285715,0.375
0.018857142857142857,0.375
0.018857142857142857,0.379
0.019,0.379
0.019,0.38
0.019142857142857142,0.38
0.019142857142857142,0.3845
0.019428571428571427,0.3845
0.019428571428571427,0.3855
0.019714285714285715,0.3855
0.019714285714285715,0.388
0.019857142857142858,0.388
0.019857142857142858,0.3895
0.020428571428571428,0.3895
0.020428571428571428,0.3905
0.02057142857142857,0.3905
0.02057142857142857,0.391
0.020714285714285713,0.391
0.020714285714285713,0.393
0.02157142857142857,0.393
0.02157142857142857,0.395
0.021857142857142856,0.395
0.021857142857142856,0.396
0.02214285714285714,0.396
0.02214285714285714,0.3965
0.022285714285714287,0.3965
0.022285714285714287,0.398
0.02242857142857143,0.398
0.02242857142857143,0.3985
0.022714285714285715,0.3985
0.022714285714285715,0.399
0.022857142857142857,0.399
0.022857142857142857,0.4025
0.023,0.4025
0.023,0.403
0.023285714285714285,0.403
0.023285714285714285,0.4035
0.023428571428571427,0.4035
0.023428571428571427,0.4045
0.023571428571428573,0.4045
0.023571428571428573,0.405
0.023714285714285716,0.405
0.023714285714285716,0.406
0.023857142857142858,0.406
0.023857142857142858,0.407
0.024,0.407
0.024,0.412
0.024142857142857143,0.412
0.024142857142857143,0.4125
0.024285714285714285,0.4125
0.024285714285714285,0.4155
0.024428571428571428,0.4155
0.024428571428571428,0.4185
0.024714285714285713,0.4185
0.024714285714285713,0.4215
0.025142857142857144,0.4215
0.025142857142857144,0.423
0.025285714285714286,0.423
0.025285714285714286,0.4255
0.02542857142857143,0.4255
0.02542857142857143,0.4265
0.025857142857142856,0.4265
0.025857142857142856,0.427
0.026,0.427
0.026,0.43
0.02614285714285714,0.43
0.02614285714285714,0.4325
0.026285714285714287,0.4325
0.026285714285714287,0.433
0.026571428571428572,0.433
0.026571428571428572,0.434
0.027142857142857142,0.434
0.027142857142857142,0.4345
0.027571428571428573,0.4345
0.027571428571428573,0.435
0.027857142857142858,0.435
0.027857142857142858,0.4365
0.028,0.4365
0.028,0.437
0.028285714285714286,0.437
0.028285714285714286,0.439
0.028428571428571428,0.439
0.028428571428571428,0.443
0.028857142857142856,0.443
0.028857142857142856,0.4455
0.029,0.4455
0.029,0.446
0.029142857142857144,0.446
0.029142857142857144,0.4465
0.029285714285714286,0.4465
0.029285714285714286,0.447
0.02957142857142857,0.447
0.02957142857142857,0.451
0.029714285714285714,0.451
0.029714285714285714,0.4515
0.029857142857142856,0.4515
0.029857142857142856,0.452
0.030285714285714287,0.452
0.030285714285714287,0.4525
0.03042857142857143,0.4525
0.03042857142857143,0.4535
0.030571428571428572,0.4535
0.030571428571428572,0.4545
0.030714285714285715,0.4545
0.030714285714285715,0.4565
0.03142857142857143,0.4565
0.03142857142857143,0.4575
0.03214285714285714,0.4575
0.03214285714285714,0.4585
0.032285714285714286,0.4585
0.032285714285714286,0.4605
0.03242857142857143,0.4605
0.03242857142857143,0.461
0.03271428571428572,0.461
0.03271428571428572,0.462
0.032857142857142856,0.462
0.032857142857142856,0.463
0.03314285714285714,0.463
0.03314285714285714,0.464
0.03328571428571429,0.464
0.03328571428571429,0.4645
0.03357142857142857,0.4645
0.03357142857142857,0.465
0.033857142857142856,0.465
0.033857142857142856,0.4655
0.03414285714285714,0.4655
0.03414285714285714,0.468
0.03428571428571429,0.468
0.03428571428571429,0.4695
0.034428571428571426,0.4695
0.034428571428571426,0.471
0.03457142857142857,0.471
0.03457142857142857,0.4715
0.03471428571428571,0.4715
0.03471428571428571,0.4765
0.03485714285714286,0.4765
0.03485714285714286,0.477
0.035,0.477
0.035,0.478
0.03542857142857143,0.478
0.03542857142857143,0.4805
0.03557142857142857,0.4805
